timestamp,biosignal_0,biosignal_1,biosignal_2,biosignal_3,biosignal_4,biosignal_5,biosignal_6,biosignal_7,acceleration_x,acceleration_y,acceleration_z,angular_vec_x,angular_vec_y,angular_vec_z,magnetic_x,magnetic_y,magnetic_z,input_orientation_x,input_orientation_y,input_orientation_z,input_orientation_w,input_orientation_yaw,input_orientation_pitch,input_orientation_roll,input_projection_left,input_projection_top,input_projection_right,input_projection_bottom,prediction_time,predicted_orientation_x,predicted_orientation_y,predicted_orientation_z,predicted_orientation_w,predicted_orientation_yaw,predicted_orientation_pitch,predicted_orientation_roll,predicted_projection_left,predicted_projection_top,predicted_projection_right,predicted_projection_bottom
456025150312.00,0,0,0,0,0,0,0,0,-0.087464325,0.9880048,0.19789414,1.4854698,1.7494049,0.35892498,24.06,-33.48,-19.439999,-0.098780839,-0.381456672,-0.013067575,0.919000757,-0.778218091,-0.173309863,-0.099543758,-1,1,1,-1,100,-0.094177715,-0.339414924,-0.017109238,0.935753942,-0.68791085,-0.16616684,-0.09609855,-1,1,1,-1
456036058644.00,0,0,0,0,0,0,0,0,-0.08282236,0.9862946,0.19520669,2.1854699,1.504405,0.35892498,24.18,-33.36,-20.1,-0.097891401,-0.38136322,-0.013259058,0.919131963,-0.778063118,-0.171516001,-0.099200629,-1,1,1,-1,100,-0.094458632,-0.337069899,-0.017168963,0.936571717,-0.6828952,-0.16689874,-0.09598559,-1,1,1,-1
456048609367.00,0,0,0,0,0,0,0,0,-0.08282236,0.9875162,0.19398512,2.46547,1.329405,0.35892498,23.939999,-33,-19.92,-0.097363461,-0.38113001,-0.013574083,0.919280162,-0.777564287,-0.170319468,-0.099336334,-1,1,1,-1,100,-0.09411452,-0.334539324,-0.017362829,0.937509656,-0.67752457,-0.16637325,-0.09567155,-1,1,1,-1
456059647530.00,0,0,0,0,0,0,0,0,-0.080379225,0.98507303,0.1917863,3.09547,1.119405,0.323925,24.06,-33.12,-20.1,-0.096777156,-0.381015049,-0.01377198,0.919386778,-0.77733916,-0.169089094,-0.099233441,-1,1,1,-1,100,-0.093992904,-0.331712276,-0.01733979,0.938526332,-0.67153716,-0.16644119,-0.09504795,-1,1,1,-1
456070865647.00,0,0,0,0,0,0,0,0,-0.08331099,0.97798795,0.1898318,3.1304698,1.434405,0.35892498,24.18,-33.66,-19.439999,-0.09579405,-0.38065593,-0.01407408,0.919633885,-0.776605129,-0.167066082,-0.098976672,-1,1,1,-1,100,-0.093407445,-0.32817477,-0.017350836,0.939827204,-0.6640843,-0.16567133,-0.09406015,-1,1,1,-1
456083029838.00,0,0,0,0,0,0,0,0,-0.08331099,0.9723687,0.18861023,3.20047,1.2944049,0.603925,24.06,-33.84,-19.199999,-0.095520833,-0.380566899,-0.01417572,0.919697589,-0.776422679,-0.166489497,-0.098940231,-1,1,1,-1,100,-0.092638649,-0.328154594,-0.0173661,0.939910114,-0.6641004,-0.16419856,-0.09358128,-1,1,1,-1
456096644418.00,0,0,0,0,0,0,0,0,-0.08502118,0.9721244,0.18763296,3.0604699,1.6444049,0.70892495,24.42,-33.36,-18.779999,-0.09547335,-0.38048325,-0.014318564,0.919734915,-0.776230216,-0.166302964,-0.099152975,-1,1,1,-1,100,-0.092644647,-0.327591479,-0.016931772,0.940113842,-0.6629567,-0.16454394,-0.092667356,-1,1,1,-1
456107217128.00,0,0,0,0,0,0,0,0,-0.08477687,0.9735903,0.18616708,2.5354698,1.539405,0.88392496,24.18,-33.84,-19.02,-0.09493099,-0.380000545,-0.014149963,0.919993191,-0.775244772,-0.16546762,-0.09834183,-1,1,1,-1,100,-0.093410589,-0.325731546,-0.016389308,0.940693736,-0.65902305,-0.1665314,-0.091817155,-1,1,1,-1
456118601333.00,0,0,0,0,0,0,0,0,-0.085509814,0.97554475,0.18763296,2.3954697,1.6444049,1.023925,24,-33.84,-18.72,-0.094281764,-0.379614317,-0.014252676,0.92021779,-0.774447858,-0.164219514,-0.097969189,-1,1,1,-1,100,-0.093088761,-0.325687319,-0.0162984,0.940742552,-0.6589649,-0.16597988,-0.09142818,-1,1,1,-1
456130148503.00,0,0,0,0,0,0,0,0,-0.08477687,0.9826299,0.1866557,2.43047,1.9944049,1.373925,24.119999,-33.719997,-19.439999,-0.093846438,-0.37915202,-0.014097635,0.92045524,-0.773496807,-0.163570777,-0.09726993,-1,1,1,-1,100,-0.094077103,-0.325533748,-0.015487546,0.940711141,-0.6586601,-0.16839616,-0.0905127,-1,1,1,-1
456142522394.00,0,0,0,0,0,0,0,0,-0.08575413,0.98336285,0.1866557,2.71047,2.344405,1.373925,24.6,-34.02,-19.5,-0.093111054,-0.378594071,-0.014417031,0.920754587,-0.77231276,-0.162017837,-0.097204685,-1,1,1,-1,100,-0.095447861,-0.326504827,-0.014828593,0.940247059,-0.66069007,-0.17133825,-0.09033627,-1,1,1,-1
456153866977.00,0,0,0,0,0,0,0,0,-0.08502118,0.9809197,0.18372394,3.0604699,2.449405,1.408925,24.539999,-34.02,-19.32,-0.093123278,-0.378482717,-0.014329387,0.920800498,-0.772079945,-0.162117526,-0.097032309,-1,1,1,-1,100,-0.095409803,-0.326357394,-0.014890525,0.940301001,-0.66037357,-0.17124009,-0.09040164,-1,1,1,-1
456166856041.00,0,0,0,0,0,0,0,0,-0.08282236,0.9862946,0.18079217,3.1304698,2.5894048,1.3039249,24.42,-34.079998,-18.96,-0.091865769,-0.377747382,-0.014677425,0.921223192,-0.770549595,-0.15958637,-0.096596628,-1,1,1,-1,100,-0.093686335,-0.324474692,-0.015552368,0.941114843,-0.6564424,-0.16771008,-0.09019306,-1,1,1,-1
456178340414.00,0,0,0,0,0,0,0,0,-0.08282236,0.9862946,0.17761609,3.6904697,2.834405,1.5139248,23.82,-34.079998,-18.539999,-0.091420076,-0.377258408,-0.014900656,0.921464288,-0.769503832,-0.15863876,-0.096588947,-1,1,1,-1,100,-0.090846591,-0.323027134,-0.016465917,0.941875339,-0.65349144,-0.16184989,-0.08983028,-1,1,1,-1
